id,year,source,title,url,publication_type,independent,reliability,coverage_of_subject,facts_supported,notability_weight,article_use,status,notes,citation_wikitext
S1,2017,Data & Society Research Institute,The Legacy of inBloom,https://datasociety.net/pubs/ecl/InBloom_feb_2017.pdf,Research working paper,Yes,High for analysis; reliable research institute,Moderate. Mentions Alderson as a participant and includes attributed commentary on inBloom communications and product development.,"Former Lead Architect at Houghton Mifflin Harcourt / Choice Solutions; technical architect for New York implementation of inBloom; listed current role at the time as Principal Analyst of Enterprise Software, Eduventures.",Medium to High,Professional background and inBloom role,Verified; PDF text extracted locally,"Most substantive independent source found, but the report is about inBloom rather than a biographical profile.","{{cite report |last1=Bulger |first1=Monica |last2=McCormick |first2=Patrick |last3=Pitcan |first3=Mikaela |title=The Legacy of inBloom |publisher=Data & Society Research Institute |date=February 2, 2017 |url=https://datasociety.net/pubs/ecl/InBloom_feb_2017.pdf |access-date=June 8, 2026}}"
SXSW1,2020,SXSW EDU,10 Things You Probably Don't Know About SXSW EDU,https://sxswedu.com/news/2020/10-things-you-probably-dont-know-about-sxsw-edu/,Event retrospective / organizational article,Partial; official event source,Medium for SXSW EDU launch-context facts; does not name Alderson,"Minor for Alderson; useful for inBloom context. SXSW EDU founder Ron Reed says the Shared Learning Collaborative was rebranded to launch InBloom at SXSW EDU in 2013, calling it one of the first and most elaborate education initiatives launched at SXSW EDU and noting that discussion shifted toward student-data security and privacy.","InBloom launched at SXSW EDU in 2013 through the rebranding of the Shared Learning Collaborative; the launch prompted discussion of student-data security and privacy. Does not verify Alderson's speaker role.",Low for Alderson; Medium for inBloom context,Use only as context for inBloom's SXSW EDU launch and privacy/security discussion; pair Alderson-specific inBloom role claims with Data & Society.,Verified from downloaded HTML and extracted text,Reviewed in sources/data_society_inbloom_sources.md; local files data/sxswedu_10_things_2020_inbloom.html and data/sxswedu_10_things_2020_inbloom.txt,"{{cite web |last=Reed |first=Ron |title=10 Things You Probably Don't Know About SXSW EDU |url=https://sxswedu.com/news/2020/10-things-you-probably-dont-know-about-sxsw-edu/ |website=SXSW EDU |date=January 28, 2020 |access-date=June 8, 2026}}"
ESN1,2013,eSchool News / Reuters,"K-12 student database jazzes tech startups, spooks parents",https://www.eschoolnews.com/district-management/2013/03/04/k-12-student-database-jazzes-tech-startups-spooks-parents/,Reuters-syndicated news article,Yes for Reuters reporting; syndicated page,Medium to High for inBloom launch/privacy context; does not name Alderson,"Context only. eSchool News reprint says Reuters reported an Austin education-technology conference where startups would show products and highlights a $100 million K-12 student database holding files on millions of children. It describes privacy objections from parents and civil-liberties groups. Direct Reuters URL was blocked locally by a JS/ad-blocker page.","Contemporary news coverage of the inBloom/student-data controversy around an Austin education-technology conference; supports broader significance and privacy concerns, not Alderson-specific facts.",Low for Alderson; Medium for inBloom context,Use only as inBloom context if needed; do not cite for Alderson-specific facts.,Verified from downloaded syndicated HTML and extracted text; direct Reuters page locally blocked,Reviewed in sources/data_society_inbloom_sources.md; local files data/eschoolnews_reuters_2013_inbloom_database.html and data/eschoolnews_reuters_2013_inbloom_database.txt; blocked direct file data/reuters_2013_inbloom_database_sxswedu.html,"{{cite web |title=K-12 student database jazzes tech startups, spooks parents |url=https://www.eschoolnews.com/district-management/2013/03/04/k-12-student-database-jazzes-tech-startups-spooks-parents/ |website=eSchool News |date=March 4, 2013 |access-date=June 8, 2026}}"
EW1,2014,Education Week,InBloom Sputters Amid Concerns About Privacy of Student Data,https://www.edweek.org/technology/inbloom-sputters-amid-concerns-about-privacy-of-student-data/2014/01,Education journalism,Yes,High for education-policy reporting; does not name Alderson,"Context only. Article says inBloom emerged backed by $100 million in Gates Foundation and Carnegie Corporation grants, formed partnerships with nine states serving more than 11 million students, and then lost support as privacy and third-party vendor concerns grew.","Independent education-journalism context for inBloom's scale, controversy, privacy concerns, and state/district withdrawals; not Alderson-specific.",Low for Alderson; Medium to High for inBloom context,Use as inBloom context if needed; pair Alderson-specific role claims with Data & Society.,Verified from downloaded HTML and extracted text,Reviewed in sources/data_society_inbloom_sources.md; local files data/edweek_2014_inbloom_sputters_privacy.html and data/edweek_2014_inbloom_sputters_privacy.txt,"{{cite web |last=Kamisar |first=Ben |title=InBloom Sputters Amid Concerns About Privacy of Student Data |url=https://www.edweek.org/technology/inbloom-sputters-amid-concerns-about-privacy-of-student-data/2014/01 |website=Education Week |date=January 7, 2014 |access-date=June 8, 2026}}"
GF1,2013,Gates Foundation,"ConnectEDU, Inc. / OPP1092353",https://www.gatesfoundation.org/about/committed-grants/2013/07/opp1092353,Primary grant database record,No / primary,High for Gates Foundation grant details; primary for funding context,"Minor. Lists ConnectEDU, Inc. as grantee and provides grant details; does not mention Alderson or inBloom by name.","Gates Foundation committed $499,375 in July 2013 to ConnectEDU, Inc. for an 18-month K-12 Education grant to build a technology platform for Common Core literacy standards.",None,Use only for ConnectEDU/Gates Foundation funding context if needed; do not use as notability support or for Alderson-specific facts.,Verified from downloaded HTML,Reviewed in sources/data_society_inbloom_sources.md; local file data/gates_foundation_grant_opp1092353.html,"{{cite web |title=ConnectEDU, Inc. |url=https://www.gatesfoundation.org/about/committed-grants/2013/07/opp1092353 |website=Gates Foundation |date=July 2013 |access-date=June 8, 2026}}"
SI1,2026,Startup Intros,"ConnectEdu: Funding, Team & Investors",https://startupintros.com/orgs/connectedu,Company directory/profile summary,Partial,Medium for company-background orientation; verify facts against underlying sources before article use,"Company-background summary. Describes ConnectEDU as a Boston-based edtech company founded in 2002 with K-12, college, and career-planning technology; summarizes products, scale, funding, bankruptcy, asset sales, and data-privacy context. Does not mention Alderson.","ConnectEDU company context only; not Alderson-specific. Useful as a readable summary and source lead list.",None to Low,Use only for ConnectEDU background orientation; do not use for Alderson notability and prefer underlying sources for article facts.,Verified from downloaded HTML,Reviewed in sources/connectedu_company_sources.md; local file data/startupintros_connectedu.html,"{{cite web |title=ConnectEdu: Funding, Team & Investors |url=https://startupintros.com/orgs/connectedu |website=Startup Intros |access-date=June 8, 2026}}"
S2,2016,Campus Technology,Eduventures Publishes Report on Learning Management Systems,https://campustechnology.com/articles/2016/01/28/eduventures-publishes-report-on-learning-management-systems.aspx,Trade journalism,Yes,Medium to High,Moderate. Article is about Eduventures report and quotes Alderson as author/principal analyst.,Alderson was author and Principal Analyst for an Eduventures LMS report; the article quotes his explanation of the report.,Medium,Eduventures analyst role,Verified from downloaded HTML,Useful secondary source; not a profile.,"{{cite web |last=Schaffhauser |first=Dian |title=Eduventures Publishes Report on Learning Management Systems |url=https://campustechnology.com/articles/2016/01/28/eduventures-publishes-report-on-learning-management-systems.aspx |website=Campus Technology |date=January 28, 2016 |access-date=June 8, 2026}}"
CT2,2016,Campus Technology,Laying the Groundwork for Big Data,https://campustechnology.com/articles/2016/02/25/laying-the-groundwork-for-big-data.aspx?Page=3&p=1,Trade journalism,Yes,Medium to High,"Minor to moderate. Article about higher-education analytics identifies Alderson as an Eduventures principal analyst and uses his analysis of analytics vendors, data integration, and data governance challenges as context.",Alderson was principal analyst for Eduventures; he commented publicly on higher-education analytics vendor-market and data-governance challenges.,Low to Medium,Optional professional-context source if expanding the Eduventures or analytics section.,Verified from downloaded HTML,Reviewed in sources/campus_technology_sources.md; local file data/campus_technology_big_data_groundwork.html,"{{cite web |last=Raths |first=David |title=Laying the Groundwork for Big Data |url=https://campustechnology.com/articles/2016/02/25/laying-the-groundwork-for-big-data.aspx?Page=3&p=1 |website=Campus Technology |date=February 25, 2016 |access-date=June 8, 2026}}"
PF1,2016,ProctorFree,Ensure Student Success with ProctorFree at Eduventures Summit 2016,https://www.proctorfree.com/news/rethink-student-lifecycle-online-proctoring-eduventures-summit-2016,Vendor blog post / event coverage,Partial; third-party vendor with promotional interest,Medium for event and quote facts; limited for notability,"Minor to moderate. ProctorFree says Alderson, Principal Analyst at Eduventures, would give the keynote presentation `Technology that Should be on Every Higher Education Leader's Radar` at Eduventures Summit 2016 on October 24, 2016, and references Alderson's recent comments about ProctorFree's auditing of automated exam sessions.","Alderson was listed as a keynote presenter at Eduventures Summit 2016 and was identified as Principal Analyst at Eduventures; the post also corroborates his public commentary on online proctoring.",Low,Use only for Eduventures Summit / online-proctoring professional context; not a notability anchor because the source is a vendor promotional blog.,Verified from downloaded HTML and extracted text,Reviewed in sources/encoura_eduventures_sources.md; local files data/proctorfree_eduventures_summit_2016.html and data/proctorfree_eduventures_summit_2016.txt,"{{cite web |title=Ensure Student Success with ProctorFree at Eduventures Summit 2016 |url=https://www.proctorfree.com/news/rethink-student-lifecycle-online-proctoring-eduventures-summit-2016 |website=ProctorFree |date=October 21, 2016 |access-date=June 8, 2026}}"
SS1,2016,SlideShare / Eduventures,EduVentures: Tapping the Social Funnel for Development_June 2016_Simmons College,https://www.slideshare.net/slideshow/eduventures-tapping-the-social-funnel-for-developmentjune-2016simmons-college/63257710,Slide deck / platform-hosted presentation,No or partial; platform-hosted and likely self/affiliated,Medium for deck text and presentation metadata; weak for notability,"Minor to moderate for professional-context facts. SlideShare metadata identifies a 27-slide deck uploaded by `JeffTe`, created June 20 2016 UTC, with an AI-enhanced description naming Jeffrey Alderson. Extracted slide text names `Jeffrey Alderson | Principal Analyst, Eduventures` and `Principal Analyst, Enterprise Software`; the title identifies June 2016 Simmons College.","Alderson presented or authored an Eduventures deck titled `Tapping the Social Funnel for Development` for a June 2016 Simmons College event; the deck identifies him as Principal Analyst / Principal Analyst, Enterprise Software at Eduventures and includes a short professional bio.",Low,Use only for narrow presentation/publication-history and professional-context facts; not a notability anchor because the deck is platform-hosted and likely self/affiliated.,Verified from downloaded HTML and extracted text,Reviewed in sources/encoura_eduventures_sources.md; local files data/slideshare_eduventures_social_funnel_simmons_2016.html and data/slideshare_eduventures_social_funnel_simmons_2016.txt,"{{cite web |last=Alderson |first=Jeffrey |title=EduVentures: Tapping the Social Funnel for Development_June 2016_Simmons College |url=https://www.slideshare.net/slideshow/eduventures-tapping-the-social-funnel-for-developmentjune-2016simmons-college/63257710 |website=SlideShare |date=June 20, 2016 |access-date=June 8, 2026}}"
